errorType,aiProvider,filename,errorMessage,lineNumber,testResults.passed,testResults.message,testResults.tests.0.passed,testResults.tests.0.message,testResults.tests.0.function,backupCreated,patchApplied,errorDetails,recoveryTimeMs,timestamp,patchStatus
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,17963.010180276862,2025-07-07 7:50:14,failed
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12370.705675440931,2025-07-07 7:52:19,failed
Syntax error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10963.701792960457,2025-07-07 7:52:46,success
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13696.45116221591,2025-07-07 7:55:30,success
File system error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,FALSE,Tests failed,FALSE,"Error in FAQ function: Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.mds'",generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",19466.889114995298,2025-07-07 7:57:39,failed
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2752.281571770465,2025-07-07 7:57:59,success
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,16408.005040052903,2025-07-07 7:58:07,failed
Invalid function/type,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,18132,2025-07-07 7:59:51,success
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12110.865833555568,2025-07-07 8:03:11,failed
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,21482,2025-07-07 8:03:53,failed
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12069.217084438595,2025-07-07 8:05:37,failed
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,19221.34389551719,2025-07-07 8:06:33,failed
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16275.014984965634,2025-07-07 8:07:08,failed
Reference error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12170.578226886324,2025-07-07 8:07:10,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",16299,2025-07-07 8:13:13,failed
Range error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3027.5996687147176,2025-07-07 8:14:00,success
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,10348.383919440952,2025-07-07 8:15:35,failed
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",16277.047471870059,2025-07-07 8:15:57,failed
Undefined properties,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3761.450371400331,2025-07-07 8:16:55,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15715.185686488157,2025-07-07 8:17:49,success
Undefined properties,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3720.881960151267,2025-07-07 8:19:44,success
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2852.306621892367,2025-07-07 8:22:00,success
Syntax error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12314.911395005081,2025-07-07 8:23:06,failed
URI error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,12461.794901060808,2025-07-07 8:23:53,success
Array index/range,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3083,2025-07-07 8:25:54,success
File system error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,,,,,,TRUE,FALSE,Failed to generate patch from AI,17326.09844528832,2025-07-07 8:28:34,failed
Undefined properties,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16067.71647692217,2025-07-07 8:29:17,success
Array index/range,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2903.5653036293015,2025-07-07 8:30:17,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3286.909235119303,2025-07-07 8:34:03,success
Array index/range,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,19897.259027434564,2025-07-07 8:34:31,failed
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,16793.784890982457,2025-07-07 8:36:16,success
URI error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",14260,2025-07-07 8:36:29,success
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,15462.79482736725,2025-07-07 8:36:49,success
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,16010.947274058262,2025-07-07 8:37:33,success
Type error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,11349.131269053876,2025-07-07 8:38:09,success
File system error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,FALSE,Tests failed,FALSE,"Error in FAQ function: Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\functions\README.mds'",generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",19523.979897921217,2025-07-07 8:40:09,failed
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2976.610144426141,2025-07-07 8:40:48,success
Undefined properties,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,3779.0316553558155,2025-07-07 8:40:59,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15597.991308893526,2025-07-07 8:42:36,success
File system error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,,,,,,TRUE,FALSE,Failed to generate patch from AI,24948.653397947957,2025-07-07 8:45:19,failed
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2908.4469142066005,2025-07-07 8:46:02,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,14409.397001623582,2025-07-07 8:46:03,failed
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15546.295386182348,2025-07-07 8:46:27,success
Array index/range,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15787.13374581113,2025-07-07 8:46:35,success
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2787.4253499001206,2025-07-07 8:49:17,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3092.340071771373,2025-07-07 8:50:44,success
URI error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15222.202105687498,2025-07-07 8:55:09,failed
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2865.6475955283527,2025-07-07 8:55:22,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,13048,2025-07-07 8:57:35,failed
Type error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9735.702245394588,2025-07-07 8:58:52,success
Array index/range,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13164.990179487568,2025-07-07 8:59:53,failed
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15624.347152597336,2025-07-07 9:00:12,success
URI error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",14260,2025-07-07 9:01:59,failed
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15501.199367431545,2025-07-07 9:02:41,success
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,3163.613740202721,2025-07-07 9:03:50,success
Reference error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,13243.63035935846,2025-07-07 9:06:52,failed
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2721.034023831986,2025-07-07 9:07:40,success
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3390.090810674208,2025-07-07 9:10:12,success
Syntax error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12989.512804643542,2025-07-07 9:13:10,failed
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,15158.39597232791,2025-07-07 9:13:13,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13808.239206934939,2025-07-07 9:14:27,success
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15139.51937933957,2025-07-07 9:14:50,success
Undefined properties,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,17175.17363,2025-07-07 9:15:08,success
Syntax error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2810.213804,2025-07-07 9:16:20,success
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2792.397549204947,2025-07-07 9:17:04,success
Array index/range,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2819.4316740728937,2025-07-07 9:18:11,success
Undefined properties,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_alpha.js,Cannot read properties of undefined (reading 'substring'),29,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13481.089248611286,2025-07-07 9:18:49,success
Range error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,2930.7702351641237,2025-07-07 9:19:09,success
Array index/range,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,13215.395696103777,2025-07-07 9:21:58,success
URI error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3185.4435800631504,2025-07-07 9:22:00,success
Reference error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,9176.305695652192,2025-07-07 9:24:08,success
Range error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,18796.29448887187,2025-07-07 9:27:06,success
Type error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2799.0089001375795,2025-07-07 9:28:09,success
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2976.2956737060963,2025-07-07 9:29:46,success
Reference error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,8414,2025-07-07 9:30:43,success
Range error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,14190.892118815193,2025-07-07 9:31:04,success
Array index/range,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_gamma.js,Cannot read properties of undefined (reading 'length'),28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,12896.091479393346,2025-07-07 9:31:54,success
Invalid function/type,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,2818.7082051717052,2025-07-07 9:32:11,success
Reference error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,12829.137349186505,2025-07-07 9:32:17,success
Range error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,FALSE,Tests failed,FALSE,Error in FAQ function: Invalid count value: -3,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",16299,2025-07-07 9:33:32,failed
File system error,lms_claude_sonnet,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,,,,,,TRUE,FALSE,Failed to generate patch from AI,21727.68888231635,2025-07-07 9:34:27,failed
Invalid function/type,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_team_beta.js,member.skills.count is not a function,28,TRUE,All tests passed,TRUE,Team HTML generated successfully,generateTeamHTML,TRUE,TRUE,,15553.11617684561,2025-07-07 9:36:38,failed
Syntax error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_c.js,"Unexpected token 'd', ""{""settings"": data}"" is not valid JSON",28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10016.972378653489,2025-07-07 9:37:27,failed
Reference error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_a.js,projectt is not defined,27,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,2427.1564237650223,2025-07-07 9:37:52,success
File system error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",40,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,17078.745138679933,2025-07-07 9:39:22,success
URI error,lms_mistral,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_gamma.js,URI malformed,34,FALSE,Tests failed,FALSE,Error in FAQ function: URI malformed,generateFAQHTML,TRUE,FALSE,"Patch failed tests, backup restored",15691.84723746649,2025-07-07 9:41:37,failed
Type error,lms_claude_haiku,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_portfolio_b.js,Cannot read properties of null (reading 'toString'),28,TRUE,All tests passed,TRUE,Portfolio HTML generated successfully,generatePortfolioHTML,TRUE,TRUE,,10975.953835541332,2025-07-07 9:42:43,success
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3527.619767426873,2025-07-07 9:43:46,success
File system error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_alpha.js,"Self-healing trigger: ENOENT: no such file or directory, open 'C:\Projects.Study\CompanyWebsiteSelfHealing\README.mds'",41,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3679.0573620122477,2025-07-07 9:44:16,success
Range error,gemini_2flash,C:\Projects.Study\CompanyWebsiteSelfHealing\functions\generate_faq_beta.js,Invalid count value: -3,34,TRUE,All tests passed,TRUE,FAQ HTML generated successfully,generateFAQHTML,TRUE,TRUE,,3053.0093113200196,2025-07-07 9:45:16,success
